RH	TEMP	WINDSPEED	ELAPSEDTIME 
%	degC	cm/s	ms     
0.0000  14.00  700.000000  35562.00
0.0000  14.00  674.281250  35672.00
0.0000  14.00  751.546875  35782.00
0.0000  14.00  674.281250  35892.00
0.0000  15.00  751.546875  36002.00
0.0000  14.00  622.960937  36112.00
0.0000  15.00  738.644531  36222.00
0.0000  14.00  751.546875  36332.00
0.0000  14.00  700.000000  36443.00
0.0000  14.00  661.441406  36552.00
0.0000  14.00  738.644531  36663.00
0.0000  15.00  751.546875  36772.00
0.0000  14.00  738.644531  36883.00
0.0000  14.00  751.546875  36993.00
0.0000  14.00  751.546875  37103.00
0.0000  14.00  751.546875  37213.00
0.0000  14.00  751.546875  37323.00
0.0000  14.00  751.546875  37433.00
0.0000  14.00  674.281250  37543.00
0.0000  14.00  751.546875  37653.00
0.0000  14.00  687.136718  37764.00
0.0000  15.00  751.546875  37873.00
0.0000  14.00  674.281250  37984.00
0.0000  15.00  725.753906  38093.00
0.0000  16.00  584.570312  38204.00
0.0000  15.00  674.281250  38313.00
0.0000  15.00  584.570312  38424.00
0.0000  15.00  674.281250  38534.00
0.0000  15.00  597.359375  38644.00
0.0000  15.00  674.281250  38754.00
0.0000  15.00  597.359375  38864.00
0.0000  16.00  725.753906  38974.00
0.0000  14.00  597.359375  39085.00
0.0000  14.00  674.281250  39194.00
0.0000  14.00  597.359375  39305.00
0.0000  14.00  712.871093  39415.00
0.0000  15.00  674.281250  39525.00
0.0000  14.00  751.546875  39635.00
0.0000  14.00  674.281250  39745.00
0.0000  14.00  725.753906  39856.00
0.0000  14.00  635.781250  39965.00
0.0000  14.00  712.871093  40076.00
0.0000  14.00  635.781250  40185.00
0.0000  14.00  725.753906  40296.00
0.0000  14.00  751.546875  40406.00
0.0000  14.00  764.457031  40516.00
0.0000  14.00  444.523437  40626.00
0.0000  14.00  777.375000  40736.00
0.0000  14.00  816.191406  40846.00
0.0000  14.00  725.753906  40956.00
0.0000  14.00  803.242187  41066.00
0.0000  14.00  738.644531  41177.00
0.0000  14.00  803.242187  41286.00
0.0000  14.00  687.136718  41397.00
0.0000  14.00  816.191406  41507.00
0.0000  14.00  674.281250  41617.00
0.0000  14.00  764.457031  41728.00
0.0000  14.00  777.375000  41837.00
0.0000  14.00  751.546875  41948.00
0.0000  14.00  764.457031  42057.00
0.0000  14.00  751.546875  42168.00
0.0000  14.00  751.546875  42277.00
0.0000  14.00  712.871093  42388.00
0.0000  14.00  764.457031  42498.00
0.0000  14.00  687.136718  42608.00
0.0000  14.00  712.871093  42718.00
0.0000  14.00  635.781250  42828.00
0.0000  14.00  712.871093  42938.00
0.0000  14.00  635.781250  43048.00
0.0000  14.00  712.871093  43159.00
0.0000  15.00  635.781250  43269.00
0.0000  15.00  751.546875  43379.00
0.0000  14.00  368.609375  43489.00
0.0000  15.00  764.457031  43599.00
0.0000  15.00  687.136718  43709.00
0.0000  14.00  751.546875  43820.00
0.0000  14.00  674.281250  43929.00
0.0000  14.00  803.242187  44040.00
0.0000  14.00  751.546875  44149.00
0.0000  15.00  764.457031  44260.00
0.0000  15.00  764.457031  44369.00
0.0000  15.00  764.457031  44480.00
0.0000  15.00  764.457031  44590.00
0.0000  14.00  764.457031  44700.00
0.0000  14.00  764.457031  44810.00
0.0000  14.00  777.375000  44920.00
0.0000  14.00  764.457031  45030.00
0.0000  14.00  687.136718  45140.00
0.0000  13.00  764.457031  45250.00
0.0000  13.00  674.281250  45361.00
0.0000  13.00  712.871093  45471.00
0.0000  13.00  635.781250  45581.00
0.0000  13.00  712.871093  45691.00
0.0000  13.00  712.871093  45801.00
0.0000  13.00  712.871093  45912.00
0.0000  13.00  725.753906  46021.00
0.0000  13.00  622.960937  46132.00
0.0000  13.00  700.000000  46241.00
0.0000  13.00  674.281250  46352.00
0.0000  13.00  751.546875  46461.00
0.0000  13.00  661.441406  46572.00
0.0000  13.00  738.644531  46683.00
0.0000  13.00  738.644531  46792.00
0.0000  13.00  738.644531  46903.00
0.0000  13.00  444.523437  47012.00
0.0000  13.00  674.281250  47123.00
0.0000  13.00  751.546875  47233.00
0.0000  13.00  687.136718  47343.00
0.0000  13.00  751.546875  47454.00
0.0000  13.00  738.644531  47563.00
0.0000  14.00  738.644531  47674.00
0.0000  15.00  700.000000  47783.00
0.0000  14.00  597.359375  47894.00
0.0000  13.00  217.765625  48004.00
0.0000  14.00  482.605468  48114.00
0.0000  13.00  482.605468  48224.00
0.0000  13.00  368.609375  48334.00
255.9961  255.00  482.605468  48445.00
0.0000  13.00  167.773437  48552.00
0.0000  13.00  482.605468  48663.00
0.0000  13.00  469.902343  48773.00
0.0000  13.00  393.878906  48883.00
0.0000  14.00  469.902343  48994.00
0.0000  14.00  406.527343  49103.00
0.0000  14.00  469.902343  49214.00
0.0000  13.00  469.902343  49324.00
0.0000  14.00  469.902343  49434.00
255.9961  255.00  482.605468  49544.00
0.0000  13.00  167.773437  49653.00
0.0000  13.00  520.773437  49764.00
0.0000  13.00  482.605468  49873.00
0.0000  13.00  393.878906  49984.00
0.0000  13.00  482.605468  50095.00
0.0000  13.00  444.523437  50204.00
0.0000  13.00  482.605468  50315.00
0.0000  13.00  482.605468  50424.00
0.0000  13.00  393.878906  50535.00
0.0000  13.00  117.929687  50644.00
0.0000  13.00  406.527343  50755.00
0.0000  13.00  482.605468  50866.00
0.0000  13.00  482.605468  50975.00
0.0000  13.00  393.878906  51086.00
0.0000  13.00  469.902343  51195.00
0.0000  13.00  393.878906  51306.00
0.0000  13.00  469.902343  51417.00
0.0000  13.00  469.902343  51526.00
0.0000  13.00  444.523437  51637.00
0.0000  13.00  482.605468  51746.00
0.0000  13.00  393.878906  51857.00
0.0000  13.00  431.851562  51968.00
0.0000  13.00  431.851562  52077.00
0.0000  13.00  167.773437  52188.00
0.0000  13.00  117.929687  52297.00
0.0000  13.00  55.828125  52408.00
0.0000  13.00  431.851562  52518.00
0.0000  13.00  431.851562  52628.00
0.0000  13.00  431.851562  52739.00
0.0000  13.00  444.523437  52848.00
